id_venta,fecha,rut_cliente,id_producto,cantidad,monto_neto,canal,vendedor,tipo_documento
F-010631,08-07-2025,78.934.391-2,SKU-1024,31,774690,Televenta,V-06,VENTA
F-014437,09/07/25,76068682-1,SKU-1019,19,949810,Tienda,V-04,VENTA
F-013611,11/06/25,71275970-3,SKU-1003,57,-1424430,Tienda,V-03,VENTA
F-007185,2025-01-28,75173072-5,SKU-1037,28,97720,Distribuidor,V-06,VENTA
F-012141,2025-10-21,78.980.980-6,SKU-1031,20,69800,Tienda,V-06,VENTA
F-014642,2025-12-26,73.584.180-3,SKU-1026,40,-359600,Tienda,V-01,VENTA
F-010033,03-02-2025,79126480-2,SKU-1032,12,41880,Tienda,NULL,VENTA
F-007166,2025-04-06,77.185.397-9,SKU-1040,2,25980,Televenta,V-03,VENTA
F-007534,11-08-2025,775215454,SKU-1013,22,1099780,Distribuidor,V-05,VENTA
F-014733,12/07/25,73.584.180-3,SKU-1013,44,1099560,Tienda,V-01,VENTA
F-010632,2025-12-16,71275970-3,SKU-1029,9,31410,Televenta,V-01,VENTA
F-006139,2025-12-03,77577833-5,SKU-1023,5,249950,Ecommerce,V-05,VENTA
F-011437,17/07/25,75.173.072-5,SKU-1026,55,714450,Ecommerce,V-02,VENTA
F-007928,2025-07-23,76502858-K,SKU-1017,17,101830,Ecommerce,V-03,VENTA
F-003619,2025-06-01,78980980-6,SKU-1019,48,167520,Tienda,V-05,VENTA
F-002841,2025-03-23,73584180-3,SKU-1015,32,1599680,Televenta,V-02,VENTA
F-010912,2025-02-12,71.634.481-8,SKU-1022,4,23960,Ecommerce,V-05,VENTA
F-013215,2025-05-09,72354411-7,SKU-1013,42,1049580,Tienda,V-05,VENTA
F-005100,2025-12-21,76.068.682-1,SKU-1023,29,260710,Tienda,V-04,VENTA
F-002178,2025-02-23,77521545-4,SKU-1025,37,1849630,Ecommerce,V-06,VENTA
F-008265,2025-04-29,76497584-4,SKU-1021,45,157050,Distribuidor,V-06,VENTA
F-009748,20-04-2025,77.521.545-4,SKU-1003,45,157050,Distribuidor,V-01,VENTA
F-014294,2025-09-29,79.126.480-2,SKU-1029,32,799680,Televenta,V-04,VENTA
F-007439,2025-05-13,76497584-4,SKU-1010,51,1274490,Ecommerce,V-02,VENTA
F-008543,28/04/25,76476979-9,SKU-1025,29,57710,Tienda,NULL,VENTA
F-014302,2025-09-10,77.577.833-5,SKU-1033,5,249950,Ecommerce,V-01,VENTA
F-011987,2025-10-20,76476979-9,SKU-1025,39,506610,Ecommerce,V-01,VENTA
F-004372,2025-06-05,78.934.391-2,SKU-1003,16,207840,Ecommerce,V-06,VENTA
F-013855,2025-04-30,72.573.458-4,SKU-1019,9,116910,Ecommerce,V-02,VENTA
F-010872,2025-08-06,771853979,SKU-1038,39,77610,Tienda,V-01,VENTA
F-000543,30/08/25,77577833-5,SKU-1038,23,206770,Ecommerce,V-03,VENTA
F-011806,2025-04-08,75.804.200-K,SKU-1026,34,441660,Distribuidor,V-03,VENTA
F-004181,12-08-2025,75346013-K,SKU-1017,18,35820,Distribuidor,NULL,VENTA
F-005030,2025-04-03,75804200-K,SKU-1004,18,899820,Tienda,V-04,VENTA
F-007881,2025-07-21,76497584-4,SKU-1012,57,2849430,Televenta,V-04,VENTA
F-010684,03-02-2025,736605895,SKU-1008,32,287680,Televenta,V-05,VENTA
F-002708,21-05-2025,79738017-0,SKU-1016,27,350730,Ecommerce,V-06,VENTA
F-003139,02/01/25,72537492-8,SKU-1009,32,63680,Tienda,V-06,VENTA
